date,listeners,streams,followers
2022-11-03,47,56,493
2022-11-02,45,61,492
2022-11-01,49,62,492
2022-10-31,47,52,492
2022-10-30,36,46,492
2022-10-29,60,73,492
2022-10-28,42,52,492
2022-10-27,56,71,492
2022-10-26,50,61,492
2022-10-25,54,79,491
2022-10-24,43,57,490
2022-10-23,38,49,490
2022-10-22,38,45,488
2022-10-21,65,83,488
2022-10-20,44,59,488
2022-10-19,45,54,488
2022-10-18,42,55,487
2022-10-17,34,46,487
2022-10-16,42,49,487
2022-10-15,54,67,487
2022-10-14,49,65,488
2022-10-13,50,63,488
2022-10-12,43,63,488
2022-10-11,62,72,487
2022-10-10,53,66,487
2022-10-09,33,35,487
2022-10-08,49,62,487
2022-10-07,60,77,487
2022-10-06,45,58,486
2022-10-05,59,71,486
2022-10-04,48,64,485
2022-10-03,41,49,485
2022-10-02,40,52,485
2022-10-01,48,65,484
2022-09-30,55,79,484
2022-09-29,39,51,484
2022-09-28,50,60,484
2022-09-27,51,69,484
2022-09-26,46,58,484
2022-09-25,49,63,483
2022-09-24,43,67,483
2022-09-23,54,76,483
2022-09-22,64,110,483
2022-09-21,51,88,483
2022-09-20,49,70,483
2022-09-19,41,56,482
2022-09-18,43,71,482
2022-09-17,36,44,481
2022-09-16,56,77,481
2022-09-15,52,64,480
2022-09-14,56,79,480
2022-09-13,56,98,479
2022-09-12,58,88,478
2022-09-11,51,69,478
2022-09-10,46,52,478
2022-09-09,49,66,478
2022-09-08,56,82,479
2022-09-07,54,64,478
2022-09-06,46,53,478
2022-09-05,49,56,478
2022-09-04,41,47,478
2022-09-03,42,45,477
2022-09-02,48,68,481
2022-09-01,51,65,481
2022-08-31,44,59,480
2022-08-30,55,66,480
2022-08-29,71,81,480
2022-08-28,55,67,480
2022-08-27,44,77,481
2022-08-26,60,81,481
2022-08-25,45,62,480
2022-08-24,38,55,480
2022-08-23,52,71,479
2022-08-22,50,67,479
2022-08-21,38,49,478
2022-08-20,41,62,478
2022-08-19,56,66,477
2022-08-18,51,65,477
2022-08-17,55,77,477
2022-08-16,45,67,477
2022-08-15,51,55,477
2022-08-14,48,62,477
2022-08-13,43,58,477
2022-08-12,48,59,477
2022-08-11,62,89,477
2022-08-10,55,77,477
2022-08-09,54,69,477
2022-08-08,54,92,477
2022-08-07,52,64,477
2022-08-06,44,55,477
2022-08-05,57,70,478
2022-08-04,61,70,478
2022-08-03,55,93,478
2022-08-02,75,87,478
2022-08-01,50,61,477
2022-07-31,46,53,477
2022-07-30,48,64,477
2022-07-29,59,87,477
2022-07-28,59,68,476
2022-07-27,53,57,476
2022-07-26,58,66,476
2022-07-25,61,77,476
2022-07-24,45,51,476
2022-07-23,48,58,475
2022-07-22,55,61,475
2022-07-21,58,69,474
2022-07-20,70,87,474
2022-07-19,52,67,474
2022-07-18,65,81,474
2022-07-17,56,69,474
2022-07-16,61,76,474
2022-07-15,69,89,474
2022-07-14,74,108,474
2022-07-13,98,162,473
2022-07-12,70,88,472
2022-07-11,77,93,470
2022-07-10,47,53,470
2022-07-09,56,87,470
2022-07-08,76,129,470
2022-07-07,72,104,469
2022-07-06,80,102,469
2022-07-05,66,92,469
2022-07-04,60,65,469
2022-07-03,50,66,469
2022-07-02,62,75,469
2022-07-01,50,62,469
2022-06-30,78,87,469
2022-06-29,69,116,469
